Method	p
0	0.116666666667
1	-0.25
2	0.0
3	0.0
4	0.025
5	-0.0777777777778
6	0.0
7	0.183333333333
8	0.6
9	0.0
10	0.0681818181818
11	0.0
12	0.2125
13	0.025
14	-0.15
15	-0.125
16	-0.3
17	-0.0375
18	0.0681818181818
19	0.216666666667
20	-0.05
21	0.0621212121212
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	-0.433333333333
28	0.2
29	0.0
30	0.5
31	0.5
32	0.3375
33	-0.133333333333
34	0.5
35	0.0
36	0.0
37	-0.625
38	0.0681818181818
39	0.0
40	0.0
41	0.0
42	0.0
43	0.25
44	0.0
45	0.0
46	0.0
47	0.0
48	0.35
49	0.0
50	0.0
51	0.0
52	0.0
53	0.0
54	-0.250841750842
55	0.0
56	0.0611111111111
57	0.136363636364
58	0.118181818182
59	0.05
60	0.075
61	-0.0666666666667
62	0.0
63	0.0
64	-0.025
65	0.105555555556
66	0.111111111111
67	0.0
68	0.133333333333
69	0.0454545454545
70	0.145454545455
71	0.1
72	0.5
73	0.2
74	0.25
75	0.136363636364
76	0.0
77	0.0
78	0.0
79	0.217272727273
80	0.166666666667
81	0.5
82	0.0
83	0.0
84	-0.233333333333
85	0.0486111111111
86	0.168181818182
87	-0.145075757576
88	0.0931818181818
89	-0.5
90	-0.0318181818182
91	0.166666666667
92	-0.25
93	-0.3
94	0.4
95	0.2
96	0.5
97	0.45
98	0.0
99	-0.6
100	0.0
101	0.0
102	0.5
103	0.5
104	0.5
105	0.5
106	0.375
107	0.0
108	0.0681818181818
109	0.366666666667
110	0.0
111	0.5
112	0.5
113	0.0
114	0.5
115	0.0
116	0.0
